,clean_title,Unnamed: 0,title,date,stock,year,day_of_week,month,news_VADER,news_compound,news_finbert_label,news_finbert_score
17,google share unaffected following earlier bloomberg article facebook pursues music video right challenge youtube,568846.0,Google Shares Unaffected Following Earlier Bloomberg Article 'Facebook Pursues Music Video Rights in Challenge to YouTube',2019-12-19,GOOGL,2019,19,12,Positive,0.3612,Neutral,0.9965176582336426
18,alexa siri teaming,568847.0,"Why Alexa, Siri Are Teaming Up",2019-12-18,GOOGL,2019,18,12,Neutral,0.0,Neutral,0.9968553781509399
19,google resolve longrunning tax dispute australia,568848.0,Google Resolves Long-Running Tax Dispute With Australia,2019-12-18,GOOGL,2019,18,12,Negative,-0.0258,Neutral,0.9906558394432068
20,google amazon create common tech platform smart home device afp,568849.0,'Google and Amazon to create common tech platform for smart home devices' -AFP,2019-12-18,GOOGL,2019,18,12,Positive,0.6705,Neutral,0.9450828433036804
21,meet chase namic share insight make 100k youtube,568850.0,"Meet Chase Namic, Who Shares Insights On How To Make $100k On YouTube",2019-12-18,GOOGL,2019,18,12,Positive,0.296,Neutral,0.9998801946640015
22,uk cma say strong argument development new regulatory regime digital market also concerned lack transparency way business work platform facebook google,568851.0,UK's CMA Says There Is 'A Strong Argument For Development Of New Regulatory Regime' For Digital Markets; It Is Also Concerned About Lack Of Transparency In Way That Business Work On Platforms Such As Facebook And Google,2019-12-18,GOOGL,2019,18,12,Negative,-0.128,Positive,0.9999666213989258
23,stock hit 52week high tuesday,568852.0,Stocks That Hit 52-Week Highs On Tuesday,2019-12-17,GOOGL,2019,17,12,Neutral,0.0,Neutral,0.9998595714569092
24,google cloud palo alto network expand strategic partnership,568853.0,Google Cloud And Palo Alto Networks Expand Strategic Partnership,2019-12-16,GOOGL,2019,16,12,Positive,0.3182,Positive,0.9996004700660706
25,yet twist turn still ahead including nike earnings quadruple witching,568854.0,"Not Over Yet: Twists And Turns Still Ahead Including Nike Earnings, Quadruple Witching",2019-12-16,GOOGL,2019,16,12,Neutral,0.0,Positive,0.8701249361038208
26,pewdiepie say take break youtube 2020,568855.0,PewDiePie Says He Will Take A Break From YouTube In 2020,2019-12-16,GOOGL,2019,16,12,Neutral,0.0,Neutral,0.9995085000991821
27,ftc look facebook negative development say rbc mahaney,568856.0,"FTC's Look Into Facebook A 'Negative Development,' Says RBC's Mahaney",2019-12-13,GOOGL,2019,13,12,Negative,-0.5719,Negative,0.7471567988395691
28,connecting smart contract real world,568857.0,Connecting Smart Contracts To The Real World,2019-12-11,GOOGL,2019,11,12,Positive,0.4019,Neutral,0.9985540509223938
29,update harassment policy youtube blog,568858.0,'An update to our harassment policy' -YouTube Blog,2019-12-11,GOOGL,2019,11,12,Negative,-0.5423,Neutral,0.9930082559585571
30,difference year last fed meeting end today rate seen changing,568859.0,What A Difference: Year's Last Fed Meeting Ends Today With Rates Not Seen Changing,2019-12-11,GOOGL,2019,11,12,Neutral,0.0,Neutral,0.9999011754989624
31,there new trading tool allows trader trade cannabis leverage,568860.0,There's A New Trading Tool That Allows Traders To Trade Cannabis With Leverage,2019-12-11,GOOGL,2019,11,12,Neutral,0.0,Positive,0.7387944459915161
32,citi cfo currently speaking goldman u financial service conference say referring partnership google google underyling banking data,568861.0,"Citi CFO, Currently Speaking At Goldman US Financial Services Conference, Says, Referring To Partnership With Google, Google Will Not Have Underyling Banking Data",2019-12-10,GOOGL,2019,10,12,Neutral,0.0,Neutral,0.9999935626983643
33,fitbit share dip session low 19 last min hearing alphabet deal fitbit facing dept justice probe,568862.0,"Fitbit Shares Dip To Session Low, Down 1.9% Over Last Min. As Hearing Alphabet Deal For Fitbit Is Facing A Dept. Of Justice Probe",2019-12-10,GOOGL,2019,10,12,Positive,0.5423,Neutral,0.9999009370803833
34,huawei ban hurting smartphone maker including apple,568863.0,"Huawei Ban Is Hurting Other Smartphone Makers, Including Apple",2019-12-10,GOOGL,2019,10,12,Negative,-0.743,Neutral,0.9946387410163879
35,analyst name facebook twitter top online medium stock pick 2020,568864.0,"Analyst Names Facebook, Twitter Top Online Media Stock Picks For 2020",2019-12-09,GOOGL,2019,9,12,Positive,0.2023,Neutral,0.9953935146331787
36,ea cloudera fast money halftime report pick dec 6,568865.0,"EA, Cloudera And More 'Fast Money Halftime Report' Picks From Dec. 6",2019-12-06,GOOGL,2019,6,12,Neutral,0.0,Neutral,0.9879627823829651
37,stock hit 52week high friday,568866.0,Stocks That Hit 52-Week Highs On Friday,2019-12-06,GOOGL,2019,6,12,Neutral,0.0,Neutral,0.9989965558052063
38,resilience back picture solid rebound early week slide amid trade hope,568867.0,Resilience Back In Picture: Solid Rebound From Early Week Slide Amid Trade Hopes,2019-12-05,GOOGL,2019,5,12,Positive,0.5423,Positive,1.0
39,wei crypto rating model weve made change,568868.0,Weiss Crypto Ratings Model: Why We've Made Some Changes,2019-12-04,GOOGL,2019,4,12,Neutral,0.0,Neutral,0.9857636094093323
40,american airline say google brief technical issue impacted multiple carrier including american issue resolved,568869.0,"American Airlines Says Google Had A Brief Technical Issue That Impacted Multiple Carriers, Including American; Issue Now Resolved",2019-12-04,GOOGL,2019,4,12,Positive,0.1779,Negative,0.8913933634757996
41,bank america alphabet note think initiative new advertising format cloud traction youtube content youtube 5 year regulatory change much bigger factor 2020,568870.0,"Bank Of America On Alphabet Notes 'but we think initiatives with new advertising formats, Cloud traction, and YouTube content (what is YouTube in 5 years?), and any regulatory changes are much bigger factors in 2020'",2019-12-04,GOOGL,2019,4,12,Neutral,0.0,Positive,0.9752241373062134
42,bank america alphabet note also may opportunity change alphabet supervoting control stock structure time could result slightly higher multiple,568871.0,"Bank Of America On Alphabet Notes 'Also, there may be an opportunity for change in Alphabet's super-voting control stock structure over time. This could result in a slightly higher multiple'",2019-12-04,GOOGL,2019,4,12,Positive,0.4215,Positive,0.9545473456382751
43,bank america maintains buy 145k target alphabet note founder taking step back think google likely evolve corporate philosophy street friendly time,568872.0,"Bank Of America Maintains Buy, $1.45K Target On Alphabet Notes 'With the founders taking a step back, we think Google is more likely to evolve its corporate philosophy to be more ""Street friendly"" over time'",2019-12-04,GOOGL,2019,4,12,Positive,0.4939,Positive,0.855273425579071
44,congrats move larry page quick reminder still expect testify congress changing title staying board retaining effective control exempt accountability elizabeth warren,568873.0,"'Congrats on the move, Larry Page! Quick reminder: We do still expect you to testify before Congress. And changing your title while staying on the board and retaining effective control of it will not exempt you from accountability' -Elizabeth Warren",2019-12-04,GOOGL,2019,4,12,Positive,0.7845,Neutral,0.9981468915939331
45,alphabet ceo shuffle come surprise,568874.0,Did Alphabet's CEO Shuffle Come As A Surprise?,2019-12-04,GOOGL,2019,4,12,Positive,0.2732,Positive,0.8430081605911255
46,boris johnson affirms plan tax facebook google despite trump retaliation,568875.0,"Boris Johnson Affirms Plan To Tax Facebook, Google Despite Trump Retaliation",2019-12-04,GOOGL,2019,4,12,Neutral,0.0,Neutral,0.9896312355995178
47,alphabet ceo larry page step google ceo sundar pichai assume dual role,568876.0,Alphabet CEO Larry Page To Step Down; Google CEO Sundar Pichai Will Assume Dual Roles,2019-12-03,GOOGL,2019,3,12,Neutral,0.0,Neutral,0.9998757839202881
48,mastercard wynn fast money halftime report pick dec 3,568877.0,"Mastercard, Wynn And More 'Fast Money Halftime Report' Picks From Dec. 3",2019-12-03,GOOGL,2019,3,12,Neutral,0.0,Neutral,0.9941279888153076
49,larry page step alphabet pichai ceo,568878.0,Larry Page To Step Down From Alphabet. Pichai To Be Ceo,2019-12-03,GOOGL,2019,3,12,Neutral,0.0,Neutral,0.9997156262397766
50,france digital service tax spark call hefty u import tariff,568879.0,France's Digital Services Tax Sparks Call For Hefty US Import Tariffs,2019-12-03,GOOGL,2019,3,12,Positive,0.2263,Neutral,0.9999388456344604
51,genius medium group inc sue google alleged lifted content genius claim lyric transcription google search contain secret watermark,568880.0,Genius Media Group Inc. Sues Google Over Alleged Lifted Content; Genius Claims Lyrics Transcriptions on Google Search Contain Secret Watermark,2019-12-03,GOOGL,2019,3,12,Neutral,0.0,Neutral,0.9938485026359558
52,update piperjaffray alphabet note co also positioned benefit various longterm option growth currently le material revenue ie waymo google cloud platform verily etc,568881.0,"UPDATE: PiperJaffray On Alphabet Notes Co. 'is also positioned to benefit from various long-term 'options for growth' that are currently less material to revenue (i.e. Waymo, Google Cloud Platform, Verily, etc.)'",2019-12-03,GOOGL,2019,3,12,Positive,0.6808,Positive,1.0
53,update piperjaffray initiate alphabet overweight 15k target note co continue benefit tailwind shift ad dollar offlinetoonline,568882.0,"UPDATE: PiperJaffray Initiates Alphabet With Overweight, $1.5k Target Notes Co. 'will continue to benefit from tailwinds of the shift in ad dollars from offline-to-online'",2019-12-03,GOOGL,2019,3,12,Positive,0.128,Positive,0.8210650086402893
54,french president macron say french digital tax doesnt target united state specifically say digital company whatever nationality compete unfairly real business,568883.0,French President Macron Says  French Digital Tax Doesn't Target United States Specifically; Says Digital Companies Whatever Their Nationality Compete Unfairly With Real Businesses,2019-12-03,GOOGL,2019,3,12,Negative,-0.3252,Neutral,0.9049699306488037
55,benzingas top upgrade downgrade december 3 2019,568884.0,"Benzinga's Top Upgrades, Downgrades For December 3, 2019",2019-12-03,GOOGL,2019,3,12,Positive,0.2023,Neutral,0.9981518387794495
56,piperjaffray initiate coverage alphabet overweight rating announces 15k price target,568885.0,"PiperJaffray Initiates Coverage On Alphabet with Overweight Rating, Announces $1.5K Price Target",2019-12-03,GOOGL,2019,3,12,Negative,-0.3612,Positive,0.9999995231628418
57,french finance minister le maire say digital tax proposal remains valid,568886.0,French Finance Minister Le Maire Say Digital Tax Proposal Remains Valid,2019-12-03,GOOGL,2019,3,12,Neutral,0.0,Neutral,0.9991484880447388
58,infographic would take break faamg stock,568887.0,Infographic: What Would It Take To Break Up The FAAMG Stocks?,2019-12-02,GOOGL,2019,2,12,Neutral,0.0,Neutral,0.9999253749847412
59,salesforce might quite surprise sleeve,568888.0,Salesforce Might Have Quite A Few Surprises Up Its Sleeve,2019-12-02,GOOGL,2019,2,12,Positive,0.3384,Positive,0.5902761220932007
60,eu antitrust regulator say theyre investigating google data collection,568889.0,EU Antitrust Regulators Say They're Investigating Google's Data Collection,2019-11-30,GOOGL,2019,30,11,Neutral,0.0,Neutral,0.9945195317268372
61,get decide access legal market eaze director talk big tech limitation industry trend,568890.0,"'Who Gets To Decide Who Has Access To A Legal Market?': Eaze Director Talks Big Tech Limitations, Industry Trends",2019-11-26,GOOGL,2019,26,11,Negative,-0.1779,Neutral,0.9999288320541382
62,trump campaign say google policy disproportionately hurt gop,568891.0,Trump Campaign Says Google Policy Disproportionately Hurts GOP,2019-11-26,GOOGL,2019,26,11,Negative,-0.5267,Negative,0.999569833278656
63,15 highestrated analyst stock pick sp 500,568892.0,15 Highest-Rated Analyst Stock Picks In The S&P 500,2019-11-26,GOOGL,2019,26,11,Neutral,0.0,Positive,0.8516566157341003
64,fitbit share 3 premarket proxy filing late mon showed detail co bidding process aug sept oct,568893.0,"Fitbit Shares Up 3% Premarket; Proxy Filing From Late Mon. Showed Details Of Co.'s Bidding Process Over Aug., Sept., Oct.",2019-11-26,GOOGL,2019,26,11,Positive,0.296,Neutral,0.9999947547912598
65,black friday gamers biggest video game deal holiday season,568894.0,Black Friday For Gamers: The Biggest Video Game Deals This Holiday Season,2019-11-25,GOOGL,2019,25,11,Positive,0.4019,Neutral,0.9999916553497314
66,know viagogo company bought stubhub,568895.0,"What You Should Know About Viagogo, The Company That Just Bought StubHub",2019-11-25,GOOGL,2019,25,11,Neutral,0.0,Neutral,0.9998365640640259
67,alphabet loon subsidiary agreed internet para todos peru use highaltitude balloon expand internet access part peruvian amazonia,568896.0,Alphabet's Loon Subsidiary Has Agreed With Internet Para Todos Peru To Use High-Altitude Balloons To Expand Internet Access To Parts Of Peruvian Amazonia,2019-11-21,GOOGL,2019,21,11,Positive,0.5267,Neutral,0.9999793767929077
68,hearing youtube creator required indicate whether content made kid,568897.0,Hearing YouTube Creators Now Required to Indicate Whether Content Is Made for Kids,2019-11-21,GOOGL,2019,21,11,Neutral,0.0,Neutral,0.9999586343765259
69,google restricts political advertising platform,568898.0,Google Restricts Political Advertising On Its Platform,2019-11-21,GOOGL,2019,21,11,Negative,-0.3182,Neutral,0.9667151570320129
70,vietnam vingroup deal google develop smart tv,568899.0,Vietnam's Vingroup in Deal with Google to Develop Smart TVs,2019-11-20,GOOGL,2019,20,11,Positive,0.4019,Neutral,0.9996606111526489
71,active approach autonomous vehicle investing,568900.0,An Active Approach To Autonomous Vehicle Investing,2019-11-19,GOOGL,2019,19,11,Positive,0.4019,Neutral,0.9779009222984314
72,google stadium launch update stadium code sent throughout day,568901.0,Google Stadia Launch Update: Stadia Codes Being Sent Out 'Throughout The Day',2019-11-19,GOOGL,2019,19,11,Neutral,0.0,Neutral,0.9999879598617554
73,boeing intel fast money halftime report pick nov 18,568902.0,"Boeing, Intel And More 'Fast Money Halftime Report' Picks From Nov. 18",2019-11-18,GOOGL,2019,18,11,Neutral,0.0,Neutral,0.9918001294136047
74,stock hit 52week high monday,568903.0,Stocks That Hit 52-Week Highs On Monday,2019-11-18,GOOGL,2019,18,11,Neutral,0.0,Neutral,0.9994863271713257
75,google fitbit acquisition already posing problem,568904.0,How Google's Fitbit Acquisition Is Already Posing Some Problems,2019-11-18,GOOGL,2019,18,11,Negative,-0.4019,Negative,0.9998557567596436
76,record shattered stock start week record high retail earnings next,568905.0,More Records Shattered: Stocks Start Week At Record Highs With More Retail Earnings Next,2019-11-18,GOOGL,2019,18,11,Negative,-0.4767,Positive,0.9999960660934448
77,day disney launch hulu hike price live tv,568906.0,"Days After Disney+ Launch, Hulu Hikes Prices For Live TV",2019-11-15,GOOGL,2019,15,11,Neutral,0.0,Neutral,0.9999972581863403
78,u supreme court hear google bid end oracle software copyright suit related android o,568907.0,US Supreme Court Will Hear Google's Bid To End Oracle's Software Copyright Suit Related To Android OS,2019-11-15,GOOGL,2019,15,11,Positive,0.5574,Neutral,0.9996008276939392
79,nvidia impress analyst datacenter resurgence expanding margin,568908.0,"Nvidia Impresses Analysts With Datacenter Resurgence, Expanding Margins",2019-11-15,GOOGL,2019,15,11,Positive,0.4404,Positive,0.999982476234436
80,q3 13f roundup buffett einhorn ackman others adjusted portfolio,568909.0,"Q3 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2019-11-15,GOOGL,2019,15,11,Neutral,0.0,Neutral,0.9999955892562866
81,stock hit 52week high friday,568910.0,Stocks That Hit 52-Week Highs On Friday,2019-11-15,GOOGL,2019,15,11,Neutral,0.0,Neutral,0.9989965558052063
82,government bank trying reduce reliance big tech,568911.0,Governments And Banks Are Trying To Reduce Their Reliance On Big Tech,2019-11-14,GOOGL,2019,14,11,Neutral,0.0,Neutral,0.917899489402771
83,apple exec key success using cheap chromebooks,568912.0,Apple Exec: Key To Success Is Not Using 'Cheap' Chromebooks,2019-11-14,GOOGL,2019,14,11,Positive,0.5719,Positive,0.9880120754241943
84,wall street think google cache,568913.0,What Wall Street Thinks Of Google Cache,2019-11-14,GOOGL,2019,14,11,Neutral,0.0,Neutral,0.9992934465408325
85,google new quantum computer hack bitcoin,568914.0,Can Google's New Quantum Computer Hack Bitcoin?,2019-11-14,GOOGL,2019,14,11,Neutral,0.0,Neutral,0.9997977614402771
86,palo alto network share spike hearing ctfn say google looking acquire co,568915.0,"Palo Alto Networks Shares Spike, Hearing CTFN Says Google Looking To Acquire Co.",2019-11-13,GOOGL,2019,13,11,Positive,0.296,Neutral,0.9998714923858643
87,google spokesperson say co exploring partner bank credit union u offer smart checking account google pay,568916.0,"Google Spokesperson Says Co. Is Exploring How It Can Partner With Banks, Credit Unions In US To Offer Smart Checking Accounts Through Google Pay",2019-11-13,GOOGL,2019,13,11,Positive,0.5994,Neutral,0.9999877214431763
88,google want bank account,568917.0,Google Wants To Be Your Bank Account,2019-11-13,GOOGL,2019,13,11,Positive,0.0772,Neutral,0.9999722242355347
89,democratic u senator warner say google fitbit deal need lot scrutiny,568918.0,Democratic US Senator Warner Says Google's Fitbit Deal Needs Lots Of Scrutiny,2019-11-13,GOOGL,2019,13,11,Neutral,0.0,Negative,0.5150094032287598
90,rex share roll new etn faang fan,568919.0,REX Shares Rolls Out A New ETN For FAANG Fans,2019-11-13,GOOGL,2019,13,11,Positive,0.5423,Neutral,0.9953881502151489
91,google offer checking account google pay account would offered citigroup stanford federal credit union,568920.0,"Google To Offer Checking Accounts Through Google Pay; Accounts Would Be Offered By Citigroup, Stanford Federal Credit Union",2019-11-13,GOOGL,2019,13,11,Positive,0.296,Neutral,0.9999969005584717
92,expert discus google secretive project nightingale,568921.0,Experts Discuss Google's Secretive Project Nightingale,2019-11-12,GOOGL,2019,12,11,Neutral,0.0,Neutral,0.9988540410995483
93,ascension issue press release confirming working google healthcare,568922.0,Ascension Issues Press Release Confirming Working With Google On Healthcare,2019-11-11,GOOGL,2019,11,11,Neutral,0.0,Neutral,0.9981119632720947
94,update patient doctor yet informed data shared google,568923.0,UPDATE: Patients And Doctors Not Yet Informed About Data Being Shared With Google,2019-11-11,GOOGL,2019,11,11,Positive,0.34,Neutral,0.9626070261001587
95,update search giant amassing health record ascension facility 21 state,568924.0,UPDATE: Search Giant Is Amassing Health Records From Ascension Facilities In 21 States,2019-11-11,GOOGL,2019,11,11,Neutral,0.0,Neutral,0.9999352693557739
96,google secret project nightingale aim gather crunch personal health data million american,568925.0,"Google's Secret ""Project Nightingale"" Aims To Gather And Crunch Personal Health Data On Millions Of Americans",2019-11-11,GOOGL,2019,11,11,Neutral,0.0,Neutral,0.9997826218605042
97,interdigital google close licensing deal new platform,568926.0,InterDigital And Google Close Licensing Deal Through A New Platform,2019-11-11,GOOGL,2019,11,11,Neutral,0.0,Neutral,0.9386842250823975
98,verge article highlight new youtube policy stating co obligation host content keep video,568927.0,The Verge Article Highlights New YouTube Policy Stating That Co. Has No Obligation To Host Content Or Keep Videos Up,2019-11-11,GOOGL,2019,11,11,Positive,0.34,Neutral,0.9999760389328003
99,facebook google considering change political ad policy,568928.0,"Facebook, Google Considering Changes In Political Ad Policies",2019-11-08,GOOGL,2019,8,11,Neutral,0.0,Neutral,0.9996668100357056
100,former google pharma exec start ritualbased cannabis company,568929.0,"Former Google, Pharma Execs Start Ritual-Based Cannabis Company",2019-11-07,GOOGL,2019,7,11,Neutral,0.0,Neutral,0.9996367692947388
101,alibaba fedex fast money halftime report pick november 7,568930.0,"Alibaba, FedEx And More 'Fast Money Halftime Report' Picks For November 7",2019-11-07,GOOGL,2019,7,11,Neutral,0.0,Neutral,0.9999161958694458
102,google share unaffected hearing co talk telecom italia related datacenter deal,568931.0,Google Shares Unaffected As Hearing Co. In Talks With Telecom Italia Related To A Datacenter Deal,2019-11-07,GOOGL,2019,7,11,Positive,0.296,Neutral,0.999994158744812
103,stock hit 52week high thursday,568932.0,Stocks That Hit 52-Week Highs On Thursday,2019-11-07,GOOGL,2019,7,11,Neutral,0.0,Neutral,0.9995502829551697
104,8 sp 500 stock insider buying,568933.0,8 S&P 500 Stocks With The Most Insider Buying,2019-11-07,GOOGL,2019,7,11,Neutral,0.0,Neutral,0.998677670955658
105,alphabet investigating sexual misconduct allegation exec,568934.0,Alphabet Is Investigating Sexual Misconduct Allegations Against Execs,2019-11-07,GOOGL,2019,7,11,Neutral,0.0,Neutral,0.9421222805976868
106,google considering change political ad policy,568935.0,Google Considering Changes to Political Ad Policy,2019-11-06,GOOGL,2019,6,11,Neutral,0.0,Neutral,0.9968228340148926
107,google say part app defense alliance co integrating google play protect detection system eset lookout zimperiums scanning engine,568936.0,"Google Says As Part Of App Defense Alliance, Co Is Integrating Google Play Protect Detection Systems With Eset, Lookout, Zimperium's Scanning Engines",2019-11-06,GOOGL,2019,6,11,Positive,0.6705,Neutral,0.999272882938385
108,quantum threat libra exchange offering bitcoin etf year biggest trend cryptocurrency,568937.0,"The Quantum Threat, Libra, Exchange Offerings, And Bitcoin ETFs: Here Are This Year's Biggest Trends In Cryptocurrency",2019-11-06,GOOGL,2019,6,11,Negative,-0.5267,Neutral,0.9927735924720764
109,photoshop go mobile top announcement adobe max show,568938.0,Photoshop Goes Mobile: Top Announcements From The Adobe MAX Show,2019-11-05,GOOGL,2019,5,11,Positive,0.2023,Neutral,0.9999030828475952
110,analyst snap twitter strong start q4,568939.0,"Analyst: Snap, Twitter Off To Strong Starts In Q4",2019-11-05,GOOGL,2019,5,11,Positive,0.5106,Positive,0.9999998807907104
111,day market history writer strike cripple hollywood,568940.0,This Day In Market History: Writer Strike Cripples Hollywood,2019-11-05,GOOGL,2019,5,11,Negative,-0.128,Neutral,0.9999904632568359
112,bernie sander accuses apple using housing crisis business opportunity,568941.0,Bernie Sanders Accuses Apple Of Using Housing Crisis As A Business Opportunity,2019-11-05,GOOGL,2019,5,11,Negative,-0.5719,Negative,0.6235684156417847
113,wetrader competition round four wrapup,568942.0,WeTrader Competition: Round Four Wrap-up,2019-11-01,GOOGL,2019,1,11,Neutral,0.0,Neutral,0.9997493624687195
114,google invades apple wearable territory fitbit acquisition,568943.0,Google Invades Apple's Wearables Territory With Fitbit Acquisition,2019-11-01,GOOGL,2019,1,11,Neutral,0.0,Neutral,0.9927075505256653
115,google buy fitbit 21b,568944.0,Google Will Buy Fitbit For $2.1B,2019-11-01,GOOGL,2019,1,11,Neutral,0.0,Positive,0.9999982118606567
116,fitbit acquired google 735share cash,568945.0,Fitbit To Be Acquired By Google At $7.35/Share In Cash,2019-11-01,GOOGL,2019,1,11,Neutral,0.0,Neutral,0.9999947547912598
117,court filing show google alphabet sued texas state attorney general ensure protection confidential business info,568946.0,"Court Filing Shows Google, Alphabet Have Sued Texas State Attorney General To Ensure Protection For Confidential Business Info",2019-10-31,GOOGL,2019,31,10,Positive,0.3818,Neutral,0.9985853433609009
118,china trade back focus strong earnings apple facebook blunt blow,568947.0,"With China Trade Back In Focus, Strong Earnings From Apple, Facebook Blunt The Blow",2019-10-31,GOOGL,2019,31,10,Positive,0.5106,Positive,1.0
119,decision day fed tap later followed apple facebook close,568948.0,"Decision Day: Fed On Tap Later, Followed by Apple, Facebook After Close",2019-10-30,GOOGL,2019,30,10,Neutral,0.0,Neutral,0.9999984502792358
120,siriusxm report available google nest smart speaker display via google assistant term disclosed,568949.0,"SiriusXM Reports Will Now Be Available On Google Nest Smart Speakers, Displays Via Google Assistant, No Terms Disclosed",2019-10-30,GOOGL,2019,30,10,Positive,0.4019,Neutral,0.9999974966049194
121,sony shutter playstation vue amid competitive pay tv industry,568950.0,Sony To Shutter PlayStation Vue Amid 'Competitive Pay TV Industry',2019-10-29,GOOGL,2019,29,10,Positive,0.0772,Negative,0.8860240578651428
122,premarket prep buy dip still working,568951.0,PreMarket Prep: Buy The Dip Still Working,2019-10-29,GOOGL,2019,29,10,Neutral,0.0,Negative,0.5376499891281128
123,fast money pick october 29,568952.0,'Fast Money' Picks For October 29,2019-10-29,GOOGL,2019,29,10,Neutral,0.0,Neutral,0.9999024868011475
124,cramer 10b pentagon contract validates microsofts cloud business,568953.0,Cramer: $10B Pentagon Contract Validates Microsoft's Cloud Business,2019-10-29,GOOGL,2019,29,10,Positive,0.34,Positive,0.999950647354126
125,ubs maintains buy alphabet raise price target 1460,568954.0,"UBS Maintains Buy on Alphabet, Raises Price Target to $1,460",2019-10-29,GOOGL,2019,29,10,Neutral,0.0,Positive,0.9999991655349731
126,head fidelity institutional outline 4 macro trend taking financial service right,568955.0,The Head Of Fidelity Institutional Outlines The 4 Macro Trends Taking Over Financial Services Right Now,2019-10-29,GOOGL,2019,29,10,Neutral,0.0,Neutral,0.9999773502349854
127,hey google sellside sentiment solid alphabet q3 earnings disappoint,568956.0,Hey Google! Sell-Side Sentiment Solid After Alphabet's Q3 Earnings Disappoint,2019-10-29,GOOGL,2019,29,10,Negative,-0.2732,Positive,1.0
128,3 reason fitbit could attractive target,568957.0,3 Reasons Fitbit Could Be An Attractive M&A Target,2019-10-29,GOOGL,2019,29,10,Positive,0.4404,Positive,0.9999969005584717
